city,city_ascii,lat,lng,country,iso2,iso3,capital,population,id
Liaocheng,Liaocheng,36.45,115.9833,China,CN,CHN,minor,5789863,1156006600
Qingdao,Qingdao,36.1167,120.4,China,CN,CHN,minor,5775000,1156112588
Dallas,Dallas,32.7936,-96.7662,United States,US,USA,,5743938,1840019440
Nangandao,Nangandao,35.2992,113.8851,China,CN,CHN,minor,5708191,1156127660
Xiangyang,Xiangyang,32.0654,112.1531,China,CN,CHN,minor,5680000,1156107325
Philadelphia,Philadelphia,40.0077,-75.1339,United States,US,USA,,5649300,1840000673
Lu’an,Lu'an,31.7542,116.5078,China,CN,CHN,minor,5611701,1156499624
Giza,Giza,29.987,31.2118,Egypt,EG,EGY,admin,5598402,1818925479
Zhaotong,Zhaotong,27.3328,103.7144,China,CN,CHN,,5591000,1156924687
Yichun,Yichun,27.8041,114.383,China,CN,CHN,minor,5573200,1156229590
Dezhou,Dezhou,37.4513,116.3105,China,CN,CHN,minor,5568235,1156524080
Nanchang,Nanchang,28.6842,115.8872,China,CN,CHN,admin,5545500,1156198892
Nairobi,Nairobi,-1.2864,36.8172,Kenya,KE,KEN,primary,5545000,1404000661
Tai’an,Tai'an,36.2001,117.0809,China,CN,CHN,,5494207,1156095188
Dazhou,Dazhou,31.2152,107.4947,China,CN,CHN,minor,5468097,1156834076
Houston,Houston,29.7863,-95.3889,United States,US,USA,,5464251,1840020925
Yongzhou,Yongzhou,26.4515,111.5953,China,CN,CHN,,5452100,1156694479
Atlanta,Atlanta,33.7627,-84.4224,United States,US,USA,admin,5449398,1840013660
Guadalajara,Guadalajara,20.6767,-103.3475,Mexico,MX,MEX,admin,5437000,1484950208
Rangoon,Rangoon,16.795,96.16,Myanmar,MM,MMR,primary,5430000,1104616656
Toronto,Toronto,43.7417,-79.3733,Canada,CA,CAN,admin,5429524,1124279679
Suihua,Suihua,46.6384,126.9808,China,CN,CHN,minor,5418153,1156235493
Saint Petersburg,Saint Petersburg,59.95,30.3167,Russia,RU,RUS,admin,5384342,1643616350
Washington,Washington,38.9047,-77.0163,United States,US,USA,primary,5379184,1840006060
Qiqihar,Qiqihar,47.3398,123.9512,China,CN,CHN,minor,5367003,1156775905
Suzhou,Suzhou,33.6333,116.9683,China,CN,CHN,,5352924,1156871297
Shantou,Shantou,23.3735,116.6941,China,CN,CHN,minor,5319028,1156457499
Weinan,Weinan,34.4996,109.4684,China,CN,CHN,minor,5286077,1156903687
